symbol,name,exchange,region,currency,type
MPWR,"Monolithic Power Systems, Inc.",NMS,us_market,USD,EQUITY
MNST,Monster Beverage Corporation,NMS,us_market,USD,EQUITY
MCO,Moody's Corporation,NYQ,us_market,USD,EQUITY
MS,Morgan Stanley,NYQ,us_market,USD,EQUITY
MOS,The Mosaic Company,NYQ,us_market,USD,EQUITY
MSI,"Motorola Solutions, Inc.",NYQ,us_market,USD,EQUITY
MSCI,MSCI Inc.,NYQ,us_market,USD,EQUITY
NDAQ,"Nasdaq, Inc.",NMS,us_market,USD,EQUITY
NTAP,"NetApp, Inc.",NMS,us_market,USD,EQUITY
NFLX,"Netflix, Inc.",NMS,us_market,USD,EQUITY
NEM,Newmont Corporation,NYQ,us_market,USD,EQUITY
NWSA,News Corporation,NMS,us_market,USD,EQUITY
NWS,News Corporation,NMS,us_market,USD,EQUITY
NEE,"NextEra Energy, Inc.",NYQ,us_market,USD,EQUITY
NKE,"NIKE, Inc.",NYQ,us_market,USD,EQUITY
NI,NiSource Inc.,NYQ,us_market,USD,EQUITY
NDSN,Nordson Corporation,NMS,us_market,USD,EQUITY
NSC,Norfolk Southern Corporation,NYQ,us_market,USD,EQUITY
NTRS,Northern Trust Corporation,NMS,us_market,USD,EQUITY
NOC,Northrop Grumman Corporation,NYQ,us_market,USD,EQUITY
NCLH,Norwegian Cruise Line Holdings Ltd.,NYQ,us_market,USD,EQUITY
NRG,"NRG Energy, Inc.",NYQ,us_market,USD,EQUITY
NUE,Nucor Corporation,NYQ,us_market,USD,EQUITY
NVDA,NVIDIA Corporation,NMS,us_market,USD,EQUITY
NVR,"NVR, Inc.",NYQ,us_market,USD,EQUITY
NXPI,NXP Semiconductors N.V.,NMS,us_market,USD,EQUITY
ORLY,"O'Reilly Automotive, Inc.",NMS,us_market,USD,EQUITY
OXY,Occidental Petroleum Corporation,NYQ,us_market,USD,EQUITY
ODFL,"Old Dominion Freight Line, Inc.",NMS,us_market,USD,EQUITY
OMC,Omnicom Group Inc.,NYQ,us_market,USD,EQUITY
ON,ON Semiconductor Corporation,NMS,us_market,USD,EQUITY
OKE,"ONEOK, Inc.",NYQ,us_market,USD,EQUITY
ORCL,Oracle Corporation,NYQ,us_market,USD,EQUITY
OTIS,Otis Worldwide Corporation,NYQ,us_market,USD,EQUITY
PCAR,PACCAR Inc,NMS,us_market,USD,EQUITY
PKG,Packaging Corporation of America,NYQ,us_market,USD,EQUITY
PLTR,Palantir Technologies Inc.,NMS,us_market,USD,EQUITY
PANW,"Palo Alto Networks, Inc.",NMS,us_market,USD,EQUITY
PARA,Paramount Global,NMS,us_market,USD,EQUITY
PH,Parker-Hannifin Corporation,NYQ,us_market,USD,EQUITY
PAYX,"Paychex, Inc.",NMS,us_market,USD,EQUITY
PAYC,"Paycom Software, Inc.",NYQ,us_market,USD,EQUITY
PYPL,"PayPal Holdings, Inc.",NMS,us_market,USD,EQUITY
PNR,Pentair plc,NYQ,us_market,USD,EQUITY
PEP,"PepsiCo, Inc.",NMS,us_market,USD,EQUITY
PFE,Pfizer Inc.,NYQ,us_market,USD,EQUITY
PCG,PG&E Corporation,NYQ,us_market,USD,EQUITY
PM,Philip Morris International Inc.,NYQ,us_market,USD,EQUITY
PSX,Phillips 66,NYQ,us_market,USD,EQUITY
